week_start_date,state_code,product_launch_flag,actual_units,base_units,wd_velo_plus_units,wd_legacy_trifecta_units,wd_comp_zyn_units,discount_units,rewards_units,ipa_units,dm_units,email_units,sms_units,search_units,sponsorship_units,ipa_strat_cities_units,audio_units,display_units,video_units,gstv_units,ooh_units,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,wtd_pts_dist_velo_plus,wtd_pts_dist_legacy_trifecta,wtd_pts_dist_comp_zyn,discount,rewards_enrollments,impressions_3p_ipa,dm_sent,email_click,sms_sent,Search_clicks,total_brand_eq_100_pct_amt,strat_city,Audio_impressions,Display_impressions,GSTV_impressions,OOH_impressions,Video_impressions,avg_price_per_unit,Audio_spends,Display_spends,GSTV_spends,OOH_spends,Search_spends,Video_spends,DM_spends,Rewards_spends,IPA_spends,Strat City_spends,actual_revenue,base_revenue,wd_velo_plus_revenue,wd_legacy_trifecta_revenue,wd_comp_zyn_revenue,discount_revenue,rewards_revenue,ipa_revenue,dm_revenue,email_revenue,sms_revenue,search_revenue,sponsorship_revenue,ipa_strat_cities_revenue,audio_revenue,display_revenue,video_revenue,gstv_revenue,ooh_revenue
2023-01-02,IA,0,6594,5907.850384,0.0,1665.567425,-1214.262266,947.8371562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,272,894,0.96,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.473,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22900.962,20517.96438,0.0,5784.515667,-4217.13285,3291.838443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,ID,0,2831,3762.203959,0.0,1156.256942,-2216.711277,313.3501935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,275,1743,0.6,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11692.03,15537.90235,0.0,4775.34117,-9155.017574,1294.136299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,IL,0,8855,7672.086627,0.0,2375.089209,-1515.838373,1153.874713,0.0,0.0,0.0,0.937862917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,166,999,0.94,0,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,,,,,31807.16,27558.13516,0.0,8531.320439,-5444.891436,4144.717969,0.0,0.0,0.0,3.368803598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,IN,0,6952,6367.390651,0.0,1750.898227,-1348.440103,1131.77156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,221,895,0.97,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.949,0.0,0.0,0.0,0.0,0.0,0.0,,,,,27453.448,25144.82568,0.0,6914.297098,-5324.989967,4469.36589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,KS,0,3102,3167.934459,0.0,846.0235417,-969.6832811,517.3755696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,247,1165,0.95,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11136.18,11372.88471,0.0,3037.224515,-3481.162979,1857.378295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,KY,0,4257,4056.610948,0.0,1217.304456,-1078.20289,611.6307101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,172,977,0.94,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.369,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14341.833,13666.72228,0.0,4101.098712,-3632.465536,2060.583862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,LA,0,1269,1265.785534,0.0,886.9601611,-864.6647189,150.8124612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,110,944,1.1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.765,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6046.785,6031.46807,0.0,4226.365168,-4120.127386,718.6213776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,MD,0,2844,2775.92255,0.0,672.2940968,-759.6342129,554.6220374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,186,1143,2.62,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.688,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13332.672,13013.52491,0.0,3151.714726,-3561.16519,2600.068111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,ME,0,1921,1946.051251,0.0,551.6456675,-480.9193487,252.4834582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,238,1263,0.98,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.564,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6846.444,6935.726659,0.0,1966.065159,-1713.996559,899.851045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,MI,0,8621,7801.784126,0.0,2208.261684,-1341.986444,788.0545074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,203,925,0.78,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.679,0.0,0.0,0.0,0.0,0.0,0.0,,,,,31716.659,28702.7638,0.0,8124.194735,-4937.168127,2899.252533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,MN,0,4109,6861.030033,0.0,3107.318425,-5830.5059,470.5127098,0.0,0.0,0.0,10.08313215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,209,918,1.19,0,0,0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.576,0.0,0.0,0.0,0.0,0.0,0.0,,,,,31129.784,51979.16353,0.0,23541.04439,-44171.9127,3564.604289,0.0,0.0,0.0,76.38980917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,MO,0,5829,5671.777779,0.0,1621.931643,-1725.010988,1173.794827,0.0,0.0,0.0,1.399133858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,219,1054,0.93,0,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.666,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21369.114,20792.73734,0.0,5946.001403,-6323.890282,4303.131836,0.0,0.0,0.0,5.129224723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
