week_start_date,state_code,avg_price_per_unit,product_launch_flag,DM_spends,Rewards_spends,IPA_spends,Strat City_spends,Audio_spends,Display_spends,GSTV_spends,OOH_spends,Search_spends,Video_spends
1/16/2023,SC,3.511,0,,,,,0,0,0,0,0,0
1/16/2023,AZ,4.317,0,,,,,0,0,0,0,0,0
1/16/2023,LA,4.751,0,,,,,0,0,0,0,0,0
1/16/2023,MN,7.569,0,,,,,0,0,0,0,0,0
1/16/2023,NJ,4.579,0,,,,,0,0,0,0,0,0
1/16/2023,OR,3.603,0,,,,,0,0,0,0,0,0
1/16/2023,VA,3.317,0,,,,,0,0,0,0,0,0
1/16/2023,RI,3.824,0,,,,,0,0,0,0,0,0
1/16/2023,KY,3.284,0,,,,,0,0,0,0,0,0
1/16/2023,WY,3.963,0,,,,,0,0,0,0,0,0
1/16/2023,NH,5.828,0,,,,,0,0,0,0,0,0
1/16/2023,MI,3.54,0,,,,,0,0,0,0,0,0
1/16/2023,NV,3.728,0,,,,,0,0,0,0,0,0
1/16/2023,WI,3.258,0,,,,,0,0,0,0,0,0
1/16/2023,ID,4.019,0,,,,,0,0,0,0,0,0
1/16/2023,NE,3.599,0,,,,,0,0,0,0,0,0
1/16/2023,CT,3.423,0,,,,,0,0,0,0,0,0
1/16/2023,MT,3.883,0,,,,,0,0,0,0,0,0
1/16/2023,NC,3.496,0,,,,,0,0,0,0,0,0
1/16/2023,VT,7.888,0,,,,,0,0,0,0,0,0
1/16/2023,MD,5.568,0,,,,,0,0,0,0,0,0
1/16/2023,DE,2.902,0,,,,,0,0,0,0,0,0
1/16/2023,MO,3.477,0,,,,,0,0,0,0,0,0
1/16/2023,IL,3.466,0,,,,,0,0,0,0,0,0
1/16/2023,ME,3.553,0,,,,,0,0,0,0,0,0
1/16/2023,WA,3.76,0,,,,,0,0,0,0,0,0
1/16/2023,ND,3.643,0,,,,,0,0,0,0,0,0
1/16/2023,MS,3.766,0,,,,,0,0,0,0,0,0
1/16/2023,AL,3.428,0,,,,,0,0,0,0,0,0
1/16/2023,IN,3.748,0,,,,,0,0,0,0,0,0
1/16/2023,OH,3.57,0,,,,,0,0,0,0,0,0
1/16/2023,TN,3.433,0,,,,,0,0,0,0,0,0
1/16/2023,NM,3.546,0,,,,,0,0,0,0,0,0
1/16/2023,IA,3.425,0,,,,,0,0,0,0,0,0
1/16/2023,PA,3.402,0,,,,,0,0,0,0,0,0
1/16/2023,SD,3.534,0,,,,,0,0,0,0,0,0
1/16/2023,NY,3.248,0,,,,,0,0,0,0,0,0
1/16/2023,TX,5.071,0,,,,,0,0,0,0,0,0
1/16/2023,WV,3.601,0,,,,,0,0,0,0,0,0
1/16/2023,GA,3.874,0,,,,,0,0,0,0,0,0
1/16/2023,KS,3.504,0,,,,,0,0,0,0,0,0
1/16/2023,CO,5.386,0,,,,,0,0,0,0,0,0
1/16/2023,FL,3.415,0,,,,,0,0,0,0,0,0
1/16/2023,AK,4.823,0,,,,,0,0,0,0,0,0
1/16/2023,AR,3.417,0,,,,,0,0,0,0,0,0
1/16/2023,OK,3.459,0,,,,,0,0,0,0,0,0
1/16/2023,UT,3.861,0,,,,,0,0,0,0,0,0
1/16/2023,HI,3.667,0,,,,,0,0,0,0,0,0
1/23/2023,SC,3.541,0,,,,,0,0,0,0,0,0
1/23/2023,AZ,4.261,0,,,,,0,0,0,0,0,0
1/23/2023,LA,4.6,0,,,,,0,0,0,0,0,0
1/23/2023,MN,7.549,0,,,,,0,0,0,0,0,0
1/23/2023,NJ,4.645,0,,,,,0,0,0,0,0,0
1/23/2023,OR,3.304,0,,,,,0,0,0,0,0,0
1/23/2023,VA,3.189,0,,,,,0,0,0,0,0,0
1/23/2023,RI,3.617,0,,,,,0,0,0,0,0,0
1/23/2023,KY,3.144,0,,,,,0,0,0,0,0,0
1/23/2023,WY,3.954,0,,,,,0,0,0,0,0,0
1/23/2023,NH,6.426,0,,,,,0,0,0,0,0,0
1/23/2023,MI,3.468,0,,,,,0,0,0,0,0,0
1/23/2023,NV,3.784,0,,,,,0,0,0,0,0,0
1/23/2023,WI,3.249,0,,,,,0,0,0,0,0,0
1/23/2023,ID,4.031,0,,,,,0,0,0,0,0,0
1/23/2023,NE,3.572,0,,,,,0,0,0,0,0,0
1/23/2023,CT,3.661,0,,,,,0,0,0,0,0,0
1/23/2023,MT,3.755,0,,,,,0,0,0,0,0,0
1/23/2023,NC,3.277,0,,,,,0,0,0,0,0,0
1/23/2023,VT,7.993,0,,,,,0,0,0,0,0,0
1/23/2023,MD,5.566,0,,,,,0,0,0,0,0,0
1/23/2023,DE,2.895,0,,,,,0,0,0,0,0,0
1/23/2023,MO,3.554,0,,,,,0,0,0,0,0,0
1/23/2023,IL,3.373,0,,,,,0,0,0,0,0,0
1/23/2023,ME,3.63,0,,,,,0,0,0,0,0,0
1/23/2023,WA,3.752,0,,,,,0,0,0,0,0,0
1/23/2023,ND,3.62,0,,,,,0,0,0,0,0,0
1/23/2023,MS,3.43,0,,,,,0,0,0,0,0,0
1/23/2023,AL,3.409,0,,,,,0,0,0,0,0,0
1/23/2023,IN,3.784,0,,,,,0,0,0,0,0,0
1/23/2023,OH,3.558,0,,,,,0,0,0,0,0,0
1/23/2023,TN,3.422,0,,,,,0,0,0,0,0,0
1/23/2023,NM,3.503,0,,,,,0,0,0,0,0,0
1/23/2023,IA,3.391,0,,,,,0,0,0,0,0,0
1/23/2023,PA,3.339,0,,,,,0,0,0,0,0,0
1/23/2023,SD,3.457,0,,,,,0,0,0,0,0,0
1/23/2023,NY,3.241,0,,,,,0,0,0,0,0,0
1/23/2023,TX,4.891,0,,,,,0,0,0,0,0,0
1/23/2023,WV,3.519,0,,,,,0,0,0,0,0,0
1/23/2023,GA,3.88,0,,,,,0,0,0,0,0,0
1/23/2023,KS,3.495,0,,,,,0,0,0,0,0,0
1/23/2023,CO,5.131,0,,,,,0,0,0,0,0,0
1/23/2023,FL,3.377,0,,,,,0,0,0,0,0,0
1/23/2023,AK,4.91,0,,,,,0,0,0,0,0,0
1/23/2023,AR,3.344,0,,,,,0,0,0,0,0,0
1/23/2023,OK,3.408,0,,,,,0,0,0,0,0,0
1/23/2023,UT,3.692,0,,,,,0,0,0,0,0,0
1/23/2023,HI,3.573,0,,,,,0,0,0,0,0,0
1/30/2023,SC,3.469,0,,,,,0,0,0,0,0,0
1/30/2023,AZ,4.226,0,,,,,0,0,0,0,0,0
1/30/2023,LA,4.685,0,,,,,0,0,0,0,0,0
1/30/2023,MN,8.017,0,,,,,0,0,0,0,0,0
1/30/2023,NJ,4.778,0,,,,,0,0,0,0,0,0
1/30/2023,OR,3.312,0,,,,,0,0,0,0,0,0
1/30/2023,VA,2.927,0,,,,,0,0,0,0,0,0
1/30/2023,RI,2.827,0,,,,,0,0,0,0,0,0
1/30/2023,KY,3.138,0,,,,,0,0,0,0,0,0
1/30/2023,WY,3.903,0,,,,,0,0,0,0,0,0
1/30/2023,NH,5.683,0,,,,,0,0,0,0,0,0
1/30/2023,MI,3.483,0,,,,,0,0,0,0,0,0
1/30/2023,NV,3.633,0,,,,,0,0,0,0,0,0
1/30/2023,WI,3.437,0,,,,,0,0,0,0,0,0
1/30/2023,ID,3.97,0,,,,,0,0,0,0,0,0
1/30/2023,NE,3.616,0,,,,,0,0,0,0,0,0
1/30/2023,CT,3.589,0,,,,,0,0,0,0,0,0
1/30/2023,MT,4.093,0,,,,,0,0,0,0,0,0
1/30/2023,NC,3.261,0,,,,,0,0,0,0,0,0
1/30/2023,VT,7.901,0,,,,,0,0,0,0,0,0
1/30/2023,MD,5.677,0,,,,,0,0,0,0,0,0
1/30/2023,DE,2.988,0,,,,,0,0,0,0,0,0
1/30/2023,MO,3.527,0,,,,,0,0,0,0,0,0
1/30/2023,IL,3.327,0,,,,,0,0,0,0,0,0
1/30/2023,ME,3.686,0,,,,,0,0,0,0,0,0
1/30/2023,WA,3.797,0,,,,,0,0,0,0,0,0
1/30/2023,ND,3.859,0,,,,,0,0,0,0,0,0
1/30/2023,MS,3.606,0,,,,,0,0,0,0,0,0
1/30/2023,AL,3.466,0,,,,,0,0,0,0,0,0
1/30/2023,IN,3.73,0,,,,,0,0,0,0,0,0
1/30/2023,OH,3.477,0,,,,,0,0,0,0,0,0
1/30/2023,TN,3.423,0,,,,,0,0,0,0,0,0
1/30/2023,NM,3.456,0,,,,,0,0,0,0,0,0
1/30/2023,IA,3.421,0,,,,,0,0,0,0,0,0
1/30/2023,PA,3.317,0,,,,,0,0,0,0,0,0
1/30/2023,SD,3.584,0,,,,,0,0,0,0,0,0
1/30/2023,NY,3.22,0,,,,,0,0,0,0,0,0
1/30/2023,TX,4.872,0,,,,,0,0,0,0,0,0
1/30/2023,WV,3.438,0,,,,,0,0,0,0,0,0
1/30/2023,GA,3.814,0,,,,,0,0,0,0,0,0
1/30/2023,KS,3.504,0,,,,,0,0,0,0,0,0
1/30/2023,CO,4.826,0,,,,,0,0,0,0,0,0
1/30/2023,FL,3.315,0,,,,,0,0,0,0,0,0
1/30/2023,AK,5.731,0,,,,,0,0,0,0,0,0
1/30/2023,AR,3.321,0,,,,,0,0,0,0,0,0
1/30/2023,OK,3.481,0,,,,,0,0,0,0,0,0
1/30/2023,UT,3.613,0,,,,,0,0,0,0,0,0
1/30/2023,HI,3.894,0,,,,,0,0,0,0,0,0
2/6/2023,SC,3.411,0,,,,,0,0,0,0,0,0
2/6/2023,AZ,4.094,0,,,,,0,0,0,0,0,0
2/6/2023,LA,4.552,0,,,,,0,0,0,0,0,0
2/6/2023,MN,7.965,0,,,,,0,0,0,0,0,0
2/6/2023,NJ,4.534,0,,,,,0,0,0,0,0,0
2/6/2023,OR,3.135,0,,,,,0,0,0,0,0,0
2/6/2023,VA,2.948,0,,,,,0,0,0,0,0,0
2/6/2023,RI,2.778,0,,,,,0,0,0,0,0,0
2/6/2023,KY,3.149,0,,,,,0,0,0,0,0,0
2/6/2023,WY,3.964,0,,,,,0,0,0,0,0,0
2/6/2023,NH,6.056,0,,,,,0,0,0,0,0,0
2/6/2023,MI,3.442,0,,,,,0,0,0,0,0,0
2/6/2023,NV,3.534,0,,,,,0,0,0,0,0,0
2/6/2023,WI,3.279,0,,,,,0,0,0,0,0,0
2/6/2023,ID,3.937,0,,,,,0,0,0,0,0,0
2/6/2023,NE,3.611,0,,,,,0,0,0,0,0,0
2/6/2023,CT,3.177,0,,,,,0,0,0,0,0,0
2/6/2023,MT,4.096,0,,,,,0,0,0,0,0,0
2/6/2023,NC,3.325,0,,,,,0,0,0,0,0,0
2/6/2023,VT,7.97,0,,,,,0,0,0,0,0,0
2/6/2023,MD,5.498,0,,,,,0,0,0,0,0,0
2/6/2023,DE,3.056,0,,,,,0,0,0,0,0,0
2/6/2023,MO,3.505,0,,,,,0,0,0,0,0,0
2/6/2023,IL,3.294,0,,,,,0,0,0,0,0,0
2/6/2023,ME,3.614,0,,,,,0,0,0,0,0,0
2/6/2023,WA,3.77,0,,,,,0,0,0,0,0,0
2/6/2023,ND,3.74,0,,,,,0,0,0,0,0,0
2/6/2023,MS,3.765,0,,,,,0,0,0,0,0,0
2/6/2023,AL,3.47,0,,,,,0,0,0,0,0,0
2/6/2023,IN,3.684,0,,,,,0,0,0,0,0,0
2/6/2023,OH,3.441,0,,,,,0,0,0,0,0,0
2/6/2023,TN,3.397,0,,,,,0,0,0,0,0,0
2/6/2023,NM,3.492,0,,,,,0,0,0,0,0,0
2/6/2023,IA,3.395,0,,,,,0,0,0,0,0,0
2/6/2023,PA,3.306,0,,,,,0,0,0,0,0,0
2/6/2023,SD,3.613,0,,,,,0,0,0,0,0,0
2/6/2023,NY,3.24,0,,,,,0,0,0,0,0,0
2/6/2023,TX,4.75,0,,,,,0,0,0,0,0,0
2/6/2023,WV,3.312,0,,,,,0,0,0,0,0,0
2/6/2023,GA,3.799,0,,,,,0,0,0,0,0,0
2/6/2023,KS,3.576,0,,,,,0,0,0,0,0,0
2/6/2023,CO,4.863,0,,,,,0,0,0,0,0,0
2/6/2023,FL,3.266,0,,,,,0,0,0,0,0,0
2/6/2023,AK,6.042,0,,,,,0,0,0,0,0,0
2/6/2023,AR,3.38,0,,,,,0,0,0,0,0,0
2/6/2023,OK,3.501,0,,,,,0,0,0,0,0,0
2/6/2023,UT,3.629,0,,,,,0,0,0,0,0,0
2/6/2023,HI,3.761,0,,,,,0,0,0,0,0,0
2/13/2023,SC,3.482,0,,,,,0,0,0,0,0,0
2/13/2023,AZ,4.229,0,,,,,0,0,0,0,0,0
2/13/2023,LA,4.512,0,,,,,0,0,0,0,0,0
2/13/2023,MN,7.992,0,,,,,0,0,0,0,0,0
2/13/2023,NJ,4.505,0,,,,,0,0,0,0,0,0
2/13/2023,OR,3.16,0,,,,,0,0,0,0,0,0
2/13/2023,VA,2.767,0,,,,,0,0,0,0,0,0
2/13/2023,RI,3.077,0,,,,,0,0,0,0,0,0
2/13/2023,KY,3.195,0,,,,,0,0,0,0,0,0
2/13/2023,WY,3.91,0,,,,,0,0,0,0,0,0
2/13/2023,NH,5.227,0,,,,,0,0,0,0,0,0
2/13/2023,MI,3.412,0,,,,,0,0,0,0,0,0
2/13/2023,NV,3.47,0,,,,,0,0,0,0,0,0
2/13/2023,WI,3.263,0,,,,,0,0,0,0,0,0
2/13/2023,ID,3.863,0,,,,,0,0,0,0,0,0
2/13/2023,NE,3.545,0,,,,,0,0,0,0,0,0
2/13/2023,CT,3.181,0,,,,,0,0,0,0,0,0
2/13/2023,MT,3.94,0,,,,,0,0,0,0,0,0
2/13/2023,NC,3.282,0,,,,,0,0,0,0,0,0
2/13/2023,VT,7.932,0,,,,,0,0,0,0,0,0
2/13/2023,MD,5.239,0,,,,,0,0,0,0,0,0
2/13/2023,DE,3.064,0,,,,,0,0,0,0,0,0
2/13/2023,MO,3.439,0,,,,,0,0,0,0,0,0
2/13/2023,IL,3.297,0,,,,,0,0,0,0,0,0
2/13/2023,ME,3.439,0,,,,,0,0,0,0,0,0
2/13/2023,WA,3.401,0,,,,,0,0,0,0,0,0
2/13/2023,ND,3.785,0,,,,,0,0,0,0,0,0
2/13/2023,MS,3.676,0,,,,,0,0,0,0,0,0
2/13/2023,AL,3.382,0,,,,,0,0,0,0,0,0
2/13/2023,IN,3.672,0,,,,,0,0,0,0,0,0
2/13/2023,OH,3.459,0,,,,,0,0,0,0,0,0
2/13/2023,TN,3.382,0,,,,,0,0,0,0,0,0
2/13/2023,NM,3.445,0,,,,,0,0,0,0,0,0
2/13/2023,IA,3.403,0,,,,,0,0,0,0,0,0
2/13/2023,PA,3.239,0,,,,,0,0,0,0,0,0
2/13/2023,SD,3.564,0,,,,,0,0,0,0,0,0
2/13/2023,NY,3.279,0,,,,,0,0,0,0,0,0
2/13/2023,TX,4.823,0,,,,,0,0,0,0,0,0
2/13/2023,WV,3.28,0,,,,,0,0,0,0,0,0
2/13/2023,GA,3.803,0,,,,,0,0,0,0,0,0
2/13/2023,KS,3.508,0,,,,,0,0,0,0,0,0
2/13/2023,CO,4.862,0,,,,,0,0,0,0,0,0
2/13/2023,FL,3.28,0,,,,,0,0,0,0,0,0
2/13/2023,AK,5.966,0,,,,,0,0,0,0,0,0
2/13/2023,AR,3.381,0,,,,,0,0,0,0,0,0
2/13/2023,OK,3.504,0,,,,,0,0,0,0,0,0
2/13/2023,UT,3.524,0,,,,,0,0,0,0,0,0
2/13/2023,HI,3.85,0,,,,,0,0,0,0,0,0
2/20/2023,SC,3.437,0,,,,,0,0,0,0,0,0
2/20/2023,AZ,4.142,0,,,,,0,0,0,0,0,0
2/20/2023,LA,4.404,0,,,,,0,0,0,0,0,0
2/20/2023,MN,7.955,0,,,,,0,0,0,0,0,0
2/20/2023,NJ,4.714,0,,,,,0,0,0,0,0,0
2/20/2023,OR,3.334,0,,,,,0,0,0,0,0,0
2/20/2023,VA,2.838,0,,,,,0,0,0,0,0,0
2/20/2023,RI,2.791,0,,,,,0,0,0,0,0,0
2/20/2023,KY,3.129,0,,,,,0,0,0,0,0,0
2/20/2023,WY,3.993,0,,,,,0,0,0,0,0,0
2/20/2023,NH,5.827,0,,,,,0,0,0,0,0,0
2/20/2023,MI,3.408,0,,,,,0,0,0,0,0,0
2/20/2023,NV,3.344,0,,,,,0,0,0,0,0,0
2/20/2023,WI,3.259,0,,,,,0,0,0,0,0,0
2/20/2023,ID,3.853,0,,,,,0,0,0,0,0,0
2/20/2023,NE,3.585,0,,,,,0,0,0,0,0,0
2/20/2023,CT,3.479,0,,,,,0,0,0,0,0,0
2/20/2023,MT,4.069,0,,,,,0,0,0,0,0,0
2/20/2023,NC,3.226,0,,,,,0,0,0,0,0,0
2/20/2023,VT,7.956,0,,,,,0,0,0,0,0,0
2/20/2023,MD,5.44,0,,,,,0,0,0,0,0,0
2/20/2023,DE,3.075,0,,,,,0,0,0,0,0,0
2/20/2023,MO,3.488,0,,,,,0,0,0,0,0,0
2/20/2023,IL,3.23,0,,,,,0,0,0,0,0,0
2/20/2023,ME,3.545,0,,,,,0,0,0,0,0,0
2/20/2023,WA,4.009,0,,,,,0,0,0,0,0,0
2/20/2023,ND,3.813,0,,,,,0,0,0,0,0,0
2/20/2023,MS,3.653,0,,,,,0,0,0,0,0,0
2/20/2023,AL,3.378,0,,,,,0,0,0,0,0,0
2/20/2023,IN,3.684,0,,,,,0,0,0,0,0,0
2/20/2023,OH,3.437,0,,,,,0,0,0,0,0,0
2/20/2023,TN,3.413,0,,,,,0,0,0,0,0,0
2/20/2023,NM,3.427,0,,,,,0,0,0,0,0,0
